종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"095570","AJ네트웍스 ","5410","-50","-0.92",,,,,"6089","0.89","210","3.88"
"006840","AK홀딩스 ","19300","-100","-0.52",,,,,"50471","0.38","400","2.07"
"027410","BGF ","5290","-20","-0.38","285","18.56","136","38.95","15781","0.34","110","2.08"
"282330","BGF리테일 ","145500","-500","-0.34","7103","20.48","10381","14.02","40317","3.61","2400","1.65"
"138930","BNK금융지주 ","8400","0","0.00","1498","5.61","2685","3.13","26781","0.31","320","3.81"
"001460","BYC ","450500","-11500","-2.49","21904","20.57",,,"538911","0.84","1100","0.24"
"001465","BYC우 ","184500","500","0.27",,,,,,,"1150","0.62"
"001040","CJ ","83400","-1100","-1.30","2581","32.31","11989","6.96","130202","0.64","2000","2.40"
"079160","CJ CGV ","25050","100","0.40",,,,,"3812","6.57","0","0.00"
"00104K","CJ4우(전환) ","70500","-1500","-2.08",,,,,,,"2000","2.84"
"000120","CJ대한통운 ","126000","-500","-0.40","5683","22.17","8692","14.50","146331","0.86","0","0.00"
"011150","CJ씨푸드 ","3800","80","2.15","58","65.52",,,"1823","2.08","0","0.00"
"011155","CJ씨푸드1우 ","36850","-50","-0.14",,,,,,,"0","0.00"
"001045","CJ우 ","53800","-200","-0.37",,,,,,,"2050","3.81"
"097950","CJ제일제당 ","387500","-1000","-0.26","42783","9.06","39913","9.71","321970","1.20","4000","1.03"
"097955","CJ제일제당 우 ","177500","-1500","-0.84",,,,,,,"4050","2.28"
"000590","CS홀딩스 ","64100","100","0.16","6657","9.63",,,"210057","0.31","500","0.78"
"012030","DB ","950","6","0.64","33","28.79",,,"1559","0.61","0","0.00"
"016610","DB금융투자 ","6580","50","0.77","2327","2.83",,,"18855","0.35","300","4.56"
"005830","DB손해보험 ","54000","0","0.00","9171","5.89","9237","5.85","90596","0.60","2200","4.07"
"000990","DB하이텍 ","72700","-400","-0.55","3822","19.02","7937","9.16","17851","4.07","350","0.48"
"000995","DB하이텍1우 ","102000","0","0.00",,,,,,,"400","0.39"
"139130","DGB금융지주 ","9380","-40","-0.42","1908","4.92","3000","3.13","29493","0.32","390","4.16"
"001530","DI동일 ","277000","1000","0.36","10465","26.47",,,"194867","1.42","1500","0.54"
"000210","DL ","60900","-700","-1.14","13077","4.66","17774","3.43","67178","0.91","1300","2.13"
"001880","DL건설 ","27150","50","0.18","7953","3.41","7081","3.83","34403","0.79","550","2.03"
"000215","DL우 ","37000","-700","-1.86",,,,,,,"1350","3.65"
"375500","DL이앤씨 ","119000","-1000","-0.83",,,"30635","3.88",,,"0","0.00"
"37550K","DL이앤씨우 ","69800","-400","-0.57",,,,,,,"0","0.00"
